iter	RMSE
323	0.1676663944
324	0.1668688532
325	0.1666012255
326	0.1662082508
327	0.1659443496
328	0.1655568479
329	0.1650673797
330	0.1645386224
331	0.1642796005
332	0.1639069622
333	0.1636511803
334	0.1632845385
335	0.1627910779
336	0.1623110268
337	0.1617855991
338	0.1614095617
339	0.1610819276
340	0.1605657422
341	0.1602019
342	0.1596842272
343	0.1593204502
344	0.1588207387
345	0.1584831985
346	0.1581237269
347	0.1576330004
348	0.1571845415
349	0.1567518598
350	0.1562818584
351	0.1560703371
352	0.1558619742
353	0.1554439727
354	0.1550831848
355	0.1547328255
356	0.1542523441
357	0.1538347035
358	0.1533808918
359	0.1530811341
360	0.1527758842
361	0.1524311043
362	0.1521311317
363	0.1516700956
364	0.1513311074
365	0.1508739581
366	0.1505263875
367	0.1500861806
368	0.1496184909
369	0.149284948
370	0.1491920178
371	0.1488641406
372	0.1485229507
373	0.1483930129
374	0.1482658854
375	0.1479290671
376	0.1476073238
377	0.147481766
378	0.1471912937
379	0.1468745198
380	0.1464466433
381	0.1463239477
382	0.1460131411
383	0.1456854815
384	0.1455984741
385	0.1453145999
386	0.1450088076
387	0.144683527
388	0.1443659613
389	0.143927089
390	0.1436253527
391	0.143196352
392	0.1428619455
393	0.1424427865
394	0.1421303691
395	0.1417318473
396	0.1414336616
397	0.1413173364
398	0.1412354384
399	0.1409421133
400	0.1406355016
401	0.1405545885
402	0.1402665794
403	0.1399418016
404	0.1396581774
405	0.1393585946
406	0.1389496337
407	0.1388704079
408	0.1385911056
409	0.1383319198
410	0.1380384666
411	0.1375604589
412	0.1368661372
413	0.1365543831
414	0.1358775656
415	0.1355906254
416	0.135322586
417	0.1350401363
418	0.1348874691
419	0.1347371776
420	0.1345892224
421	0.1343252931
422	0.134046703
423	0.1337478828
424	0.1334727876
425	0.1328276963
426	0.1325399339
427	0.1322412221
428	0.1320971703
429	0.1319553614
430	0.131685555
431	0.1314174407
432	0.1312032384
433	0.1309362561
434	0.1303173571
435	0.1300663363
436	0.1298566372
437	0.1295935226
438	0.1289935669
439	0.1284148959
440	0.1280809387
441	0.1276154245
442	0.1272885936
443	0.1268325244
444	0.1263877693
445	0.1260694209
446	0.1255443784
447	0.1252031545
448	0.1247789534
449	0.1244466451
450	0.1240347539
451	0.1238971335
452	0.123651174
453	0.1231906289
454	0.1230874009
455	0.1227664078
456	0.1223808937
457	0.1220679468
458	0.1218244065
459	0.121547122
460	0.1211652834
461	0.120792204
462	0.1206599887
463	0.1204195893
464	0.1201205883
465	0.1197608146
466	0.1194294371
467	0.1191926483
468	0.1189051306
469	0.1185504477
470	0.1181543562
471	0.1176333553
472	0.1172480414
473	0.1169719189
474	0.1166460338
475	0.1165595505
476	0.1162898888
477	0.1160551895
478	0.1156625806
479	0.1154323266
480	0.1148939948
481	0.1148099632
482	0.1144464721
483	0.1142193097
484	0.1138039353
485	0.1133108599
486	0.1128476847
487	0.112585364
488	0.1125030149
489	0.1122303958
490	0.1121490829
491	0.1116383452
492	0.1113765572
493	0.1111208223
494	0.1109019218
495	0.1106343892
496	0.110300197
497	0.1100860332
498	0.1096899929
499	0.1095655192
500	0.109443006
501	0.1093641992
502	0.1091536769
503	0.1088122772
504	0.1084268144
505	0.1083065093
506	0.1081880961
507	0.1079814645
508	0.1076040928
509	0.1074876135
510	0.1073729615
511	0.1068825001
512	0.106678762
513	0.1063564966
514	0.1062431567
515	0.1058774466
516	0.1057773851
517	0.1056664031
518	0.1054414348
519	0.1053440228
520	0.1051393084
521	0.1050549179
522	0.1047243883
523	0.1046158534
524	0.1044167591
525	0.1043096978
526	0.1041096698
527	0.1037559985
528	0.1036741209
529	0.103458843
530	0.1033531902
531	0.1032490484
532	0.1030373165
533	0.1028403814
534	0.1027381033
535	0.1025474359
536	0.1024464549
537	0.1023469173
538	0.102154744
539	0.1018338116
540	0.1017358201
541	0.1016392299
542	0.1014039281
543	0.1012524354
544	0.1011568887
545	0.1008573602
546	0.1005436962
547	0.1001093626
548	0.09994698247
549	0.09978685202
550	0.09957731883
551	0.09934750747
552	0.09916555184
553	0.09895904008
554	0.09866897495
555	0.09848332272
556	0.09825859875
557	0.09790403384
558	0.09760271924
559	0.09744684139
560	0.09738968542
561	0.09716843816
562	0.09681950959
563	0.09652517542
564	0.09637217427
565	0.09631619102
566	0.09597350186
567	0.09575494156
568	0.09541784754
569	0.09502645235
570	0.09481065996
571	0.09459797423
572	0.09426719369
573	0.0939424803
574	0.09387725977
575	0.09349821565
576	0.09328785178
577	0.09305905038
578	0.09288523634
579	0.09259407104
580	0.09236863192
581	0.09205155072
582	0.09168488034
583	0.09146225334
584	0.09126206515
585	0.0909798881
586	0.0908084784
587	0.09059153135
588	0.09031390668
589	0.09011889857
590	0.08976429429
591	0.08957469299
592	0.08943977041
593	0.08930329191
594	0.08917029227
595	0.08903587418
596	0.08898505236
597	0.08877230502
598	0.08856945844
599	0.08843672339
600	0.08830630868
601	0.08809775903
602	0.08782034849
603	0.08765130745
604	0.08752287977
605	0.08733823303
606	0.08721160348
607	0.08689101813
608	0.08676593898
609	0.08660197386
610	0.08640530755
611	0.08628191071
612	0.0860881286
613	0.08577376891
614	0.08565179688
615	0.08549306074
616	0.08531336555
617	0.08519320977
618	0.08488484917
619	0.08476614576
620	0.08457646388
621	0.08435043375
622	0.08423304033
623	0.08404579941
624	0.08392984666
625	0.08362758153
626	0.08340769705
627	0.08329299114
628	0.08310773283
629	0.08299442807
630	0.08286876076
631	0.08269592198
632	0.08258430432
633	0.08228811866
634	0.08217784827
635	0.0819639563
636	0.08185495962
637	0.0816734307
638	0.08155150139
639	0.08142323348
640	0.0811336661
641	0.08095442642
642	0.08082772988
643	0.08054333271
644	0.08036632942
645	0.08024117636
646	0.08012213529
647	0.07994765236
648	0.07966843899
649	0.07954462199
650	0.07937863437
651	0.07925652145
652	0.079144402
653	0.07887020772
654	0.07874943334
655	0.07857827057
656	0.07830892417
657	0.07818960281
658	0.07807187441
659	0.07789568642
660	0.07772630825
661	0.07761026651
662	0.07748408513
663	0.07736980194
664	0.07714186457
665	0.07703419675
666	0.07677262818
667	0.07660516366
668	0.07634826937
669	0.07618645748
670	0.07597211546
671	0.07586168878
672	0.07569676661
673	0.07557719604
674	0.07546834373
675	0.07530566973
676	0.07505934566
677	0.0749517482
678	0.07474394136
679	0.0746411028
680	0.07439967385
681	0.07428604719
682	0.07418430804
683	0.07377874991
684	0.07338128848
685	0.07326937578
686	0.07317043959
687	0.07288796734
688	0.07249974434
689	0.07211049517
690	0.07200127771
691	0.07161978528
692	0.07134738407
693	0.07098041034
694	0.07087389608
695	0.07050700406
696	0.07030572336
697	0.0699519837
698	0.06959862226
699	0.06949470467
700	0.06915385346
701	0.06905178307
702	0.06871115199
703	0.06846715387
704	0.06821521197
705	0.06796883288
706	0.06771067067
707	0.06745737063
708	0.06723258564
709	0.06700765035
710	0.06676904582
711	0.06654862759
712	0.06633151233
713	0.0660075225
714	0.06577341039
715	0.06567453127
716	0.06544727991
717	0.06535006961
718	0.0650356636
719	0.0648207241
720	0.0645914022
721	0.06438598197
722	0.06417083717
723	0.06396372186
724	0.0638792617
725	0.06357801505
726	0.06337588851
727	0.06317076265
728	0.06308719105
729	0.06299415013
730	0.06279984589
731	0.06259959209
732	0.06250760572
733	0.06229507195
734	0.06220397712
735	0.06197392329
736	0.06188448536
737	0.06167908436
738	0.06159117994
739	0.06139395008
740	0.06119776243
741	0.06100167611
742	0.0609146843
743	0.06069427251
744	0.06049756788
745	0.06041243479
746	0.06014193364
747	0.05994969883
748	0.05975371211
749	0.05967199345
750	0.05948598372
751	0.0594024537
752	0.05924498694
753	0.05916525243
754	0.05903573511
755	0.05895315474
756	0.05881910091
757	0.05866847913
758	0.05858678716
759	0.05846223945
760	0.05838527373
761	0.0583046291
762	0.05817403112
763	0.05802946238
764	0.05794968881
765	0.05787815737
766	0.05780312792
767	0.05767570547
768	0.05747880659
769	0.05739969425
770	0.05714217366
771	0.05710391235
772	0.0569784338
773	0.05678749169
774	0.05653749877
775	0.05649994358
776	0.05642650207
777	0.05627789444
778	0.05609318883
779	0.0558503685
780	0.05570563432
781	0.05552679599
782	0.0553593566
783	0.05519506812
784	0.05502442116
785	0.05479527424
786	0.05467358193
787	0.05450791052
788	0.05428667756
789	0.05410470576
790	0.05406908638
791	0.05391664312
792	0.0537578299
793	0.05363910752
794	0.05349246263
795	0.05333789323
796	0.05312371117
797	0.05308924627
798	0.05293633455
799	0.05278496579
800	0.05257789505
801	0.05249744443
802	0.05246358175
803	0.05239389452
804	0.05226143439
805	0.05205623051
806	0.05202291075
807	0.05189977367
808	0.05186686599
809	0.0517893412
810	0.05171337631
811	0.05158495192
812	0.05142890503
813	0.05122988289
814	0.05119755525
815	0.05105377206
816	0.05092853889
817	0.05077862305
818	0.05058449312
819	0.05038514708
820	0.05024695571
821	0.05017280772
822	0.04998073145
823	0.04985782206
824	0.04973716622
825	0.04961402115
826	0.04942845839
827	0.04928811502
828	0.04913683224
829	0.04899979237
830	0.04885237034
831	0.0487420607
832	0.04860804017
833	0.04843502799
834	0.04826539817
835	0.04813419395
836	0.04799325368
837	0.04786512277
838	0.04772775177
839	0.04752273083
840	0.04736530342
841	0.04728167615
842	0.0471465195
843	0.04698035111
844	0.0468256378
845	0.04675390032
846	0.046683581
847	0.04655234814
848	0.04647164156
849	0.04627356117
850	0.0461448149
851	0.04608298817
852	0.04598404573
853	0.0458584346
854	0.04579095285
855	0.04568683383
856	0.04559640633
857	0.04547035804
858	0.04527686951
859	0.04508765876
860	0.04490532553
861	0.04478226151
862	0.04463702748
863	0.0445164495
864	0.04445121235
865	0.04426447189
866	0.04412289338
867	0.04396895406
868	0.04390532874
869	0.04386507483
870	0.04382537987
871	0.04376437589
872	0.04370173522
873	0.04360235962
874	0.04345378737
875	0.04338340614
876	0.04334381478
877	0.04320091841
878	0.04306555664
879	0.04302672951
880	0.04291914715
881	0.04283893073
882	0.04280042381
883	0.0427401421
884	0.04270234811
885	0.04264303009
886	0.04254579869
887	0.04250912055
888	0.0424507866
889	0.04241482997
890	0.04231905069
891	0.04225830555
892	0.04219398208
893	0.04208889547
894	0.04202914271
895	0.04192669251
896	0.04186498547
897	0.04180614336
898	0.0417205333
899	0.04166268844
900	0.04160145836
901	0.04152458884
902	0.04139270714
903	0.04131654701
904	0.0412438785
905	0.04120743439
906	0.04115045523
907	0.04111450869
908	0.04104304025
909	0.0409825654
910	0.04082822412
911	0.04070247074
912	0.04051418328
913	0.04033225636
914	0.0402330606
915	0.04019771595
916	0.0400174699
917	0.03989718278
918	0.03982641153
919	0.0396551081
920	0.03962023262
921	0.03952941088
922	0.03949534589
923	0.0393602455
924	0.03932662958
925	0.03929351633
926	0.03917893829
927	0.03900780574
928	0.03884131605
929	0.03878177874
930	0.0387230685
931	0.03866485849
932	0.03860198332
933	0.03849226931
934	0.03837801577
935	0.03821557044
936	0.03814964247
937	0.03812674893
938	0.03810416806
939	0.03804644817
940	0.03792015139
941	0.03789790331
942	0.03787598223
943	0.03781881524
944	0.03766171946
945	0.03754502041
946	0.03752315878
947	0.03746656371
948	0.03744499686
949	0.03731244417
950	0.0372564491
951	0.03723714204
952	0.03718189684
953	0.03716082393
954	0.03710631537
955	0.03697646499
956	0.03692361036
957	0.03677311918
958	0.03675224601
959	0.03664184427
960	0.03658933087
961	0.03656874814
962	0.03651573935
963	0.03649543351
964	0.03638721003
965	0.03633578261
966	0.0363157578
967	0.03616954776
968	0.03614978623
969	0.03609780628
970	0.03597631433
971	0.03592573951
972	0.03590618902
973	0.03585530418
974	0.03583601602
975	0.03573188859
976	0.03568235914
977	0.03566333456
978	0.0355060044
979	0.03545609036
980	0.03535453411
981	0.03530516881
982	0.03528791577
983	0.03523980891
984	0.03512932582
985	0.03511308172
986	0.03506545938
987	0.0350485579
988	0.03491150782
989	0.03481365364
990	0.03479772531
991	0.03474970556
992	0.03464383757
993	0.03462719645
994	0.03458018711
995	0.0344408442
996	0.03434467127
997	0.03429748273
998	0.03419199115
999	0.03414565751
